two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
3.49392,0.006416516,0.0037985735,-0.0,0.41247553,0.1293045,-0.0,-0.0,0.04848439
3.512,0.007730613,0.003600845,-0.0,0.3467897,0.13024871,-0.0,-0.0,0.08755946
3.53008,0.006366971,0.003691934,-0.0,0.29493982,0.13033785,-0.0,-0.0,0.11994302
3.54816,0.0070074555,0.0030398075,-0.0,0.27972218,0.13123201,-0.0,-0.0,0.14175464
3.56624,0.0054681255,0.0038820703,-0.0,0.28370816,0.13164759,-0.0,2.699066e-06,0.13988036
3.58432,0.0062613487,0.0033792425,-0.0,0.29521713,0.1320725,-0.0,-0.0,0.13365051
3.6024,0.004317055,0.0042060064,-0.0,0.29943284,0.13170278,-0.0,-0.0,0.1258404
3.62048,0.00306815,0.0042914664,-0.0,0.2944412,0.13202174,-0.0,-0.0,0.13005322
3.63856,0.0033196274,0.005905988,-0.0,0.28801295,0.13232668,-0.0,7.040732e-06,0.14092477
3.65664,0.0018540377,0.0062195016,-0.0,0.28638643,0.13187103,-0.0,-0.0,0.14675818
3.67472,0.0030824703,0.0068951705,-0.0,0.2895337,0.13206555,-0.0,-0.0,0.15319322
3.6928,0.0035890343,0.0075217,-0.0,0.29578424,0.13191496,-0.0,-0.0,0.15567505
3.71088,0.0031965845,0.0066765677,-0.0,0.30812475,0.13190515,-0.0,-0.0,0.15538476
3.72896,0.006020323,0.0071025384,-0.0,0.30064476,0.13253884,-0.0,-0.0,0.1551294
3.74704,0.0047692037,0.0058803894,-0.0,0.2798953,0.13213179,-0.0,-0.0,0.16309226
3.76512,0.0072568175,0.005298378,-0.0,0.24463312,0.13299683,-0.0,-0.0,0.17883529
3.7832,0.007850365,0.0051937513,-0.0,0.21359618,0.13292514,-0.0,-0.0,0.19310333
3.80128,0.01004938,0.0037363013,-0.0,0.19321164,0.13298017,-0.0,-0.0,0.20484038
3.81936,0.012130737,0.0033846032,-0.0,0.19045582,0.13251916,-0.0,-0.0,0.20921545
3.83744,0.013802944,0.0021294267,-0.0,0.20118237,0.13186447,-0.0,-0.0,0.20689349
3.85552,0.015793946,0.0014850644,-0.0,0.2245739,0.13181281,-0.0,-0.0,0.20456398
3.8736,0.016465792,0.00030199962,-0.0,0.23458229,0.13121065,-0.0,-0.0,0.19876447
3.89168,0.016887434,-0.0,-0.0,0.24325986,0.13140836,-0.0,-0.0,0.20737183
3.90976,0.017161004,-0.0,-0.0,0.24608454,0.13170645,-0.0,-0.0,0.22103523
3.92784,0.01794714,-0.0,-0.0,0.23968458,0.1323022,-0.0,-0.0,0.24540266
3.94592,0.01919159,-0.0,-0.0,0.2583677,0.1328332,-0.0,-0.0,0.28434062
3.964,0.02122571,-0.0,-0.0,0.29656106,0.13277066,-0.0,-0.0,0.3166004
