two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
7.92352,-0.0,0.015105139,-0.0,-0.0,0.7460005,0.4799106,-0.0,0.6631357
7.95968,-0.0,0.0110232355,-0.0,-0.0,0.73766035,0.49967083,-0.0,0.65685314
7.99584,-0.0,0.023620002,-0.0,-0.0,0.73018146,0.44285744,-0.0,0.6515349
8.032,-0.0,0.04016219,-0.0,-0.0,0.7243954,0.4007269,-0.0,0.64838094
8.06816,-0.0,0.05836473,1.0187528e-06,-0.0,0.72513014,0.41602412,-0.0,0.64184827
8.10432,-0.0,0.06766152,0.0076529663,-0.0,0.72958404,0.48965466,-0.0,0.6315761
8.14048,-0.0,0.076765634,0.04334129,-0.0,0.7310566,0.58076495,-0.0,0.6045304
8.17664,-0.0,0.08525514,0.03593302,-0.0,0.7337786,0.62226576,-0.0,0.5557312
8.2128,-0.0,0.086183906,5.4275213e-05,-0.0,0.7405467,0.57923883,-0.0,0.50529975
8.24896,-0.0,0.07883858,-0.0,-0.0,0.73787135,0.45492044,-0.0,0.47728738
8.28512,-0.0,0.07429253,-0.0,-0.0,0.7225634,0.33142287,-0.0,0.47263518
8.32128,-0.0,0.08671414,-0.0,-0.0,0.70756334,0.3130414,-0.0,0.4805774
8.35744,-0.0,0.09516557,-0.0,-0.0,0.696308,0.4265862,-0.0,0.49364018
8.3936,-0.0,0.08937726,-0.0,-0.0,0.69106466,0.65621084,-0.0,0.50743157
8.42976,-0.0,0.07873166,-0.0,-0.0,0.70052356,0.8476992,-0.0,0.5304613
8.46592,-0.0,0.0949549,0.0001021296,-0.0,0.7151009,0.83918726,-0.0,0.57290393
8.50208,-0.0,0.109880224,1.2349888e-05,-0.0,0.7054399,0.64908844,-0.0,0.60682964
8.53824,-0.0,0.1094806,-0.0,-0.0,0.68548566,0.4146909,-0.0,0.6058897
8.5744,-0.0,0.10121732,-0.0,-0.0,0.67469114,0.26663643,-0.0,0.58194536
8.61056,-0.0,0.08860973,-0.0,-0.0,0.66305095,0.22648567,-0.0,0.5542771
8.64672,-0.0,0.07101983,-0.0,-0.0,0.64370114,0.24923456,-0.0,0.52702487
8.68288,-0.0,0.069976754,2.5619272e-05,-0.0,0.6284553,0.31073558,-0.0,0.49956942
8.71904,-0.0,0.07196534,9.010676e-05,-0.0,0.62061274,0.38096836,-0.0,0.47702786
8.7552,-0.0,0.07076359,9.92625e-05,-0.0,0.6217394,0.43512455,-0.0,0.46677664
8.79136,-0.0,0.09330144,0.0739982,-0.0,0.6415629,0.4498298,-0.0,0.47940972
8.82752,-0.0,0.17446741,0.1842959,-0.0,0.6707718,0.43527085,-0.0,0.53201866
8.86368,-0.0,0.23766768,0.16339841,-0.0,0.6727109,0.41027406,-0.0,0.5953733
8.89984,-0.0,0.19850898,0.01948379,-0.0,0.654329,0.37714073,-0.0,0.6066923
8.936,-0.0,0.11940615,-0.0,-0.0,0.6420628,0.3585194,-0.0,0.547164
8.97216,-0.0,0.08797946,-0.0,-0.0,0.6322041,0.33149996,-0.0,0.47185826
9.00832,-0.0,0.06665686,-0.0,-0.0,0.6118743,0.30837855,-0.0,0.43749037
9.04448,-0.0,0.044198107,-0.0,-0.0,0.59176165,0.3129506,-0.0,0.43664065
9.08064,-0.0,0.042910058,3.4162017e-06,-0.0,0.58287734,0.31372276,-0.0,0.44280574
9.1168,-0.0,0.044077914,-0.0,-0.0,0.5771927,0.29683667,-0.0,0.44014758
9.15296,-0.0,0.04311189,-0.0,-0.0,0.57373834,0.25856113,-0.0,0.42328566
9.18912,-0.0,0.04294451,-0.0,-0.0,0.5763757,0.22005522,-0.0,0.40450925
9.22528,-0.0,0.038954552,-0.0,-0.0,0.5793091,0.19677974,-0.0,0.39979547
9.26144,-0.0,0.032079466,-0.0,-0.0,0.57547814,0.1910136,-0.0,0.4078725
9.2976,-0.0,0.034274764,-0.0,-0.0,0.57162905,0.20012517,-0.0,0.41730192
9.33376,-0.0,0.048448507,-0.0,-0.0,0.57451224,0.22759044,-0.0,0.4246401
9.36992,-0.0,0.061957926,3.573166e-05,-0.0,0.5729606,0.25283322,-0.0,0.4300972
9.40608,-0.0,0.06744323,1.2758319e-05,-0.0,0.56439126,0.28526583,-0.0,0.42836413
9.44224,-0.0,0.063466996,0.0037730946,-0.0,0.5574537,0.3134557,-0.0,0.41811424
9.4784,-0.0,0.06716511,0.025750624,-0.0,0.55435044,0.32375452,-0.0,0.40646514
9.51456,-0.0,0.07836852,0.039485432,-0.0,0.55180216,0.3245623,-0.0,0.40127137
9.55072,-0.0,0.08176567,0.037387576,-0.0,0.54924196,0.31677118,-0.0,0.40253258
9.58688,-0.0,0.07612704,0.023664255,-0.0,0.5458121,0.31135464,-0.0,0.40531242
9.62304,-0.0,0.07642128,0.0048594708,-0.0,0.54633754,0.3295316,-0.0,0.4063946
9.6592,-0.0,0.07221016,3.281157e-05,-0.0,0.54812586,0.34703127,-0.0,0.40540922
9.69536,-0.0,0.07082832,-0.0,-0.0,0.55139303,0.3570253,-0.0,0.409518
9.73152,-0.0,0.06945879,-0.0,-0.0,0.55049574,0.3839419,-0.0,0.42002058
9.76768,-0.0,0.06530789,-0.0,-0.0,0.5448281,0.44340536,-0.0,0.43047914
9.80384,-0.0,0.058297776,-0.0,-0.0,0.54344004,0.49905807,-0.0,0.4328342
9.84,-0.0,0.042302724,-0.0,-0.0,0.54429066,0.5327535,-0.0,0.43081236
9.87616,-0.0,0.038308825,-0.0,-0.0,0.5422202,0.50588536,-0.0,0.4263922
9.91232,-0.0,0.04352931,-0.0,-0.0,0.54024166,0.4696089,-0.0,0.43800068
9.94848,-0.0,0.054367416,-0.0,-0.0,0.53203297,0.34922603,-0.0,0.40427858
9.98464,-0.0,0.019565245,0.90876,-0.0,0.56153667,0.48469898,-0.0,0.5483656
